Filename,FieldName,FieldAlias,Type,Length,Scale
区域建设用地基本信息注记,注记点左下角X坐标,ZXJXZB,Double,15,3
区域建设用地基本信息注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
区域建设用地基本信息注记,注记方向,ZJFX,Double,10,6
市域整体评价图斑,目标标识码,MBBSM,Int,10,0
市域整体评价图斑,要素代码,YSDM,Char,10,0
市域整体评价图斑,区域名称,QYMC,Char,60,0
市域整体评价图斑,区域代码,QYDM,Char,6,0
市域整体评价图斑,区域级别,QYJB,Char,10,0
市域整体评价图斑,区域评价对象,QYPJDX,Char,50,0
市域整体评价图斑,常住人口增长量,ZRKZL,Double,8,4
市域整体评价图斑,总人口与城乡建设用地增长弹性系数,PEI1,Double,8,2
市域整体评价图斑,TDLYQSRK,TDLYQSRK,Char,50,0
市域整体评价图斑,CZRKZL,CZRKZL,Double,8,4
市域整体评价图斑,城镇工矿用地增长量,CGYDZL,Double,12,6
市域整体评价图斑,城镇人口与城镇工矿用地增长弹性系数,PEI2,Double,8,2
市域整体评价图斑,常住农村人口增长量,CNRKZL,Double,8,4
市域整体评价图斑,户籍农业人口增长量,HNRKZL,Double,8,4
市域整体评价图斑,村庄用地增长量,CZYDZL,Double,12,6
市域整体评价图斑,PEI3_1,PEI3_1,Double,8,2
市域整体评价图斑,PEI3_2,PEI3_2,Double,8,2
市域整体评价图斑,地区生产总值增长量(可比价),SCZZZZLK,Double,15,4
市域整体评价图斑,建设用地增长量,JSZZL,Double,12,6
市域整体评价图斑,地区生产总值与建设用地增长弹性系数,EEI1,Double,8,2
市域整体评价图斑,ECI1,ECI1,Double,8,2
市域整体评价图斑,TDLYQSJJ,TDLYQSJJ,Char,50,0
市域整体评价图斑,建设用地地均地区生产总值,EUII1,Double,8,2
市域整体评价图斑,单位工业用地工业增加值,EUII2,Double,8,2
市域整体评价图斑,单位人口增长消耗新增城乡建设用地量,PGCI1,Double,8,2
市域整体评价图斑,单位地区生产总值建设用地使用面积下降率,EGCI1,Double,8,2
市域整体评价图斑,单位地区生产总值增长消耗新增建设用地量,EGCI2,Double,8,2
市域整体评价图斑,EGCI3,EGCI3,Double,8,2
市域整体评价图斑,城乡建设用地增长量,CXYDZL,Double,12,6
市域整体评价图斑,常住人口增长幅度,ZRKZF,Double,8,2
市域整体评价图斑,城乡建设用地增长幅度,CXYDZF,Double,8,2
市域整体评价图斑,CZRKZF,CZRKZF,Double,8,2
市域整体评价图斑,城镇工矿用地增长幅度,CGYDZF,Double,8,2
市域整体评价图斑,常住农村人口增长幅度,CNRKZF,Double,8,2
市域整体评价图斑,户籍农业人口增长幅度,HNRKZF,Double,8,2
市域整体评价图斑,村庄用地增长幅度,CZYDZF,Double,8,2
市域整体评价图斑,地区生产总值增长幅度,SCZZZZFD,Double,8,2
市域整体评价图斑,建设用地增长幅度,JSZZFD,Double,8,2
市域整体评价图斑,PUII,PUII,Double,8,2
市域整体评价图斑,UII,UII,Double,8,2
市域整体评价图斑,GCI,GCI,Double,8,2
市域整体评价图斑,EI,EI,Double,8,2
市域整体评价图斑,API,API,Double,8,2
市域整体评价图斑,EUII,EUII,Double,8,2
市域整体评价图斑,PGCI,PGCI,Double,8,2
市域整体评价图斑,EGCI,EGCI,Double,8,2
市域整体评价图斑,PEI,PEI,Double,8,2
市域整体评价图斑,EEI,EEI,Double,8,2
市域整体评价图斑,ULAPI,ULAPI,Double,8,2
市域整体评价图斑,城乡建设用地人口密度,PUII1,Double,8,2
市域整体评价图斑,批而未供土地处置比率,ULAPI1,Double,8,2
市域整体评价图斑,闲置王地处置比率,ULAPI2,Double,8,2
区域建设用地基本信息市域整体面状图斑,目标标识码,MBBSM,Int,10,0
区域建设用地基本信息市域整体面状图斑,要素代码,YSDM,Char,10,0
区域建设用地基本信息市域整体面状图斑,区域名称,QYMC,Char,60,0
区域建设用地基本信息市域整体面状图斑,区域代码,QYDM,Char,6,0
区域建设用地基本信息市域整体面状图斑,区域级别,QYJB,Char,10,0
区域建设用地基本信息市域整体面状图斑,区域评价对象,QYPJDX,Char,50,0
区域建设用地基本信息市域整体面状图斑,评价时点,PJSD,Char,8,0
区域建设用地基本信息市域整体面状图斑,CZZRK,CZZRK,Double,10,4
区域建设用地基本信息市域整体面状图斑,CZCZRK,CZCZRK,Double,10,4
区域建设用地基本信息市域整体面状图斑,常住农村人口,CZNCRK,Double,10,4
区域建设用地基本信息市域整体面状图斑,HJZRK,HJZRK,Double,10,4
区域建设用地基本信息市域整体面状图斑,户籍农业人口,HJNYRK,Double,10,4
区域建设用地基本信息市域整体面状图斑,HJFNRK,HJFNRK,Double,10,4
区域建设用地基本信息市域整体面状图斑,地区生产总值(当年价),DQSCZZD,Double,15,4
